data,link_DOE,link_DOE_EXTRA
22/07/2020,https://drive.google.com/file/d/1AJbA5AsFRF-Z7AxssmxA4VULuv-0TbjB/view?usp=sharing,https://drive.google.com/file/d/1r-TUBSPYXiDSW4Pk2kDongemD8Rc0f_Q/view?usp=sharing
23/07/2020,https://drive.google.com/file/d/1tK9iRqertadFjkxa8hhISHK1DiYocvvh/view?usp=sharing,-
24/07/2020,https://drive.google.com/file/d/10hj3VENMZia59h4xWDe-1D86v-nhSq9V/view?usp=sharing,https://drive.google.com/file/d/1oqO04OKBDkBlfkvbJQmH5O3vq0lgDUGR/view?usp=sharing
27/07/2020,https://drive.google.com/file/d/1yq-gtdsyewIMeuv6tPI_l3ZoX3L_Qmh2/view?usp=sharing,-
28/07/2020,https://drive.google.com/file/d/1N1pkkaCwSUUDXrMqgfarai4e70AC467A/view?usp=sharing,-
29/07/2020,https://drive.google.com/file/d/14fQKrqaNXRrMEwbn3Y234CF0-4b9ggs0/view?usp=sharing,-
30/07/2020,https://drive.google.com/file/d/1QS4W9euxncRwWKeQAWZOyRgs4Fzk0RYJ/view?usp=sharing,-
31/07/2020,https://drive.google.com/file/d/1qPVfFvJ3AmO_72vKiq6FGdmC42HQkcsc/view?usp=sharing,https://drive.google.com/file/d/1SelbURAnLXZrIO8tkRbv6HlKbPGumxZK/view?usp=sharing
03/08/2020,https://drive.google.com/file/d/1bV6QMFUIBO2hcT6bpPSO88QKtgZKiwDX/view?usp=sharing,-
04/08/2020,https://drive.google.com/file/d/1x2hb2FOn65l7GMdnT25YhsG8ynAEWSmi/view?usp=sharing,-
05/08/2020,https://drive.google.com/file/d/1brO1l1kVq_7O7kzKQWb3sVduM5KwoSMN/view?usp=sharing,-
06/08/2020,https://drive.google.com/file/d/1bnI0sdYZC7Iz6tMF1U_ropoKd4_GYj3N/view?usp=sharing,https://drive.google.com/file/d/1ONw-hk-vqlnloW5ekpYQ-zgib5rJFaF0/view?usp=sharing
07/08/2020,https://drive.google.com/file/d/1DJLIb5LyiNiiSq-Mq2C3yKFBGLDAv2FE/view?usp=sharing,https://drive.google.com/file/d/1-EbSWOyBof0Ew9JNG4-bGKsd9rwGLrP3/view?usp=sharing
10/08/2020,https://drive.google.com/file/d/1Julgzyff3lA-dTHRg76H93i7HW5gAz4u/view?usp=sharing,-
11/08/2020,https://drive.google.com/file/d/1eCjlrfjy_3KN-V4HV-yZ6UaE7xwzPFgo/view?usp=sharing,-
12/08/2020,https://drive.google.com/file/d/1s_E7Y1h2ootMes4WojAi2KyeOlM1xAZ6/view?usp=sharing,https://drive.google.com/file/d/1jMoB4fdcN-XfZk-3LIFrRgAi6ILV3uGJ/view?usp=sharing
13/08/2020,https://drive.google.com/file/d/10VD1cOH91OCFZXOlkMXatLksQVzrMkVB/view?usp=sharing,https://drive.google.com/file/d/1mW73OMTvCB1vO5ofbg5vAm7sMqf1unrk/view?usp=sharing
14/08/2020,https://drive.google.com/file/d/1n3_m4NZ6Km0j7vsZFo6py4E6jVsnBbEO/view?usp=sharing,https://drive.google.com/file/d/1DMmvswrHOpBO7UgZNymEBLu5cRGjPXv6/view?usp=sharing
17/08/2020,https://drive.google.com/file/d/1q7-4L_Q-yQVdRum1ysMU6dD6ja0p-Kmw/view?usp=sharing,https://drive.google.com/file/d/1-R0ULfXR4qIYsgqK8STFQs_yo57dhjYb/view?usp=sharing
18/08/2020,https://drive.google.com/file/d/1Dcb8565Dm4OyD3nowJTPk1DMrSUJpi9_/view?usp=sharing,-
19/08/2020,https://drive.google.com/file/d/1OL3uwf8RGlz9b8KupCQSlKcHgSQKyCyD/view?usp=sharing,-
20/08/2020,https://drive.google.com/file/d/1Zqr4inRqtw2DRRs5aMMVcv5Fi9GegtvZ/view?usp=sharing,https://drive.google.com/file/d/1rq_l2Ehgzg6eVSUF7Ux5IRuscJBSL0bL/view?usp=sharing
21/08/2020,https://drive.google.com/file/d/1cvHj4LvuEchuiDZ5stlmvcoQC2tNzIN-/view?usp=sharing,-
